title,genre,author,time,total_chars,total_function_words,total_function_words_frequency,fraction_function_words_at_end,也_count,哉_count,乎_count,兮_count,夫_count,焉_count,耶_count,者_count,矣_count,耳_count,邪_count,也_frequency,哉_frequency,乎_frequency,兮_frequency,夫_frequency,焉_frequency,耶_frequency,者_frequency,矣_frequency,耳_frequency,邪_frequency,也_fraction_at_end,哉_fraction_at_end,乎_fraction_at_end,兮_fraction_at_end,夫_fraction_at_end,焉_fraction_at_end,耶_fraction_at_end,者_fraction_at_end,矣_fraction_at_end,耳_fraction_at_end,邪_fraction_at_end
周书,史书,令狐德棻等,唐,318638.0,3140.0,0.0076105172641053485,0.7722929936305732,832.0,50.0,129.0,14.0,553.0,342.0,7.0,894.0,203.0,85.0,31.0,0.00252951625355419,0.00015377952409944827,0.00026989875658270515,9.415072904047854e-06,0.0010827333839655033,0.00099485937019439,2.1968503442778324e-05,0.0016884364074592484,0.0006057030234937452,0.00023851518023587897,1.569178817341309e-05,0.96875,0.98,0.6666666666666666,0.21428571428571427,0.6238698010849909,0.9269005847953217,1.0,0.6017897091722595,0.9507389162561576,0.8941176470588236,0.16129032258064516
隋书,史书,魏征等,唐,848885.0,9865.0,0.008399253137939768,0.7227572225038014,3041.0,134.0,309.0,6.0,1002.0,1055.0,17.0,3438.0,491.0,222.0,150.0,0.0035258014925461044,0.00011897960265524777,0.0002462053163856117,2.3560317357474803e-06,0.0004064154744164404,0.0011945080900239726,1.6492222150232364e-05,0.0020721299115899093,0.0005548454737685317,0.00019437261819916715,6.71469044688032e-05,0.9842157185136469,0.753731343283582,0.6763754045307443,0.3333333333333333,0.344311377245509,0.9611374407582939,0.8235294117647058,0.5116346713205352,0.9592668024439919,0.7432432432432432,0.38
宋书,史书,沈约,南北朝,993512.0,10122.0,0.006995386064788347,0.686623196996641,3586.0,246.0,407.0,70.0,1015.0,377.0,16.0,2927.0,648.0,327.0,503.0,0.003575195870809814,0.00019124077011651596,0.0002566652441037451,1.2078364428411534e-05,0.00018721464864037877,0.000311017884031597,1.3084894797445829e-05,0.0013115090708516858,0.0006139835251109196,0.0002908872766509111,0.00023250851524692204,0.9905186837702176,0.7723577235772358,0.6265356265356266,0.17142857142857143,0.1832512315270936,0.8196286472148541,0.8125,0.4451656986675777,0.941358024691358,0.8837920489296636,0.4592445328031809
南齐书,史书,萧子显,南北朝,365568.0,3037.0,0.005862110469187675,0.7056305564702009,1086.0,70.0,120.0,8.0,332.0,126.0,13.0,749.0,220.0,162.0,151.0,0.0028339460784313725,0.00015045080532212886,0.0001258315826330532,0.0,0.0002680759803921569,0.0002926952030812325,2.461922268907563e-05,0.0010230654761904762,0.0005580357142857143,0.0003774947478991597,0.00020789565826330532,0.9539594843462247,0.7857142857142857,0.38333333333333336,0.0,0.29518072289156627,0.8492063492063492,0.6923076923076923,0.4993324432576769,0.9272727272727272,0.8518518518518519,0.5033112582781457
梁书,史书,姚思廉,唐,358884.0,3438.0,0.00656479530990515,0.685282140779523,906.0,110.0,204.0,2.0,403.0,431.0,6.0,920.0,238.0,109.0,109.0,0.002443686539383199,0.00027028231963531393,0.00026749590396897045,0.0,0.00033994271129389995,0.0010755564472085689,1.114566266537377e-05,0.0011897994895286499,0.000629729940593618,0.00024520457863822295,9.19517169893336e-05,0.9679911699779249,0.8818181818181818,0.47058823529411764,0.0,0.3027295285359802,0.8955916473317865,0.6666666666666666,0.4641304347826087,0.9495798319327731,0.8073394495412844,0.30275229357798167
陈书,史书,姚思廉,唐,197184.0,1581.0,0.005624188575137942,0.7014547754585705,451.0,43.0,92.0,2.0,192.0,171.0,7.0,420.0,128.0,35.0,40.0,0.0022567753975981826,0.00018257059396299902,0.00027892729633235963,1.0142810775722168e-05,0.0003702125933138591,0.0008164962674456345,3.549983771502759e-05,0.00084185329438494,0.0006085686465433301,0.00014199935086011035,8.114248620577734e-05,0.9866962305986696,0.8372093023255814,0.5978260869565217,1.0,0.3802083333333333,0.9415204678362573,1.0,0.3952380952380952,0.9375,0.8,0.4
旧唐书,史书,赵莹等,五代,2400677.0,22792.0,0.006613967643293954,0.6966479466479466,6767.0,470.0,956.0,74.0,3162.0,1137.0,263.0,7544.0,1559.0,533.0,327.0,0.0027217322446959754,0.00017370100184239696,0.0002845030797562521,3.3323933207174475e-06,0.00045903717992882843,0.00042071465674057776,0.00010413729127242024,0.001602048088934913,0.0006389864192475706,0.00016745276436605174,3.832252318825065e-05,0.9655681986109058,0.8872340425531915,0.7144351464435147,0.10810810810810811,0.3485135989879823,0.8883025505716798,0.9505703422053232,0.5098091198303287,0.9839640795381654,0.7542213883677298,0.28134556574923547
资治通鉴,史书,司马光,宋,3153819.0,40029.0,0.008974516292786618,0.7070873616627945,12494.0,720.0,2504.0,2.0,3111.0,902.0,25.0,12820.0,3701.0,2135.0,1615.0,0.003927302105796179,0.000223538509977903,0.0007562260231167357,6.341518013557532e-07,0.000151562280524025,0.000223538509977903,6.9756698149132844e-06,0.001566989101150066,0.001163668555487807,0.0006040295907913548,0.00035005179434837575,0.9913558508083881,0.9791666666666666,0.9524760383386581,1.0,0.15364834458373514,0.7815964523281597,0.88,0.3854914196567863,0.9916238854363686,0.892271662763466,0.6835913312693499
新唐书,史书,宋祁、欧阳修等,宋,2008692.0,20931.0,0.0070986492702714,0.6812383545936649,5072.0,544.0,1002.0,73.0,1730.0,792.0,130.0,8906.0,1526.0,428.0,728.0,0.0024837058145300525,0.0002653468027950527,0.0004545246359322385,3.136369338853344e-05,0.0002892429501386972,0.0003445027908708752,6.123387756808908e-05,0.0019694408102387028,0.000748248113697869,0.00015930764895763014,0.0002917321321536602,0.9836356466876972,0.9797794117647058,0.9111776447105788,0.863013698630137,0.33583815028901737,0.8737373737373737,0.9461538461538461,0.4441949247698181,0.9849279161205766,0.7476635514018691,0.804945054945055
南唐书,史书,胡恢、马令、陆游,宋,74540.0,782.0,0.007552991682318219,0.7199488491048593,191.0,20.0,41.0,6.0,44.0,35.0,26.0,303.0,77.0,29.0,10.0,0.002522135766031661,0.00024148108398175475,0.0004695465521867454,0.0,0.0002012342366514623,0.00041588408907968877,0.00029514354708881136,0.0019720955191843306,0.0010195867990340757,0.000348806010195868,6.707807888382076e-05,0.9842931937172775,0.9,0.8536585365853658,0.0,0.3409090909090909,0.8857142857142857,0.8461538461538461,0.48514851485148514,0.987012987012987,0.896551724137931,0.5
